,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
1017,1266,Americas,Mesoamerica,Nicaragua,,14.333329999999998,-82.83333,Miskito Bank,Bank,Cayos Miskitos,,,Yes,0,,3
1020,1343,,,,,24.7,-82.81667,Dry Tortugas,,Fort Jefferson,,,Yes,0,,3
1022,449,Americas,Southern Tropical America,Costa Rica,,9.75,-82.8,Cahuita,Barrier,Cahuita,,,Yes,0,,3
1109,1154,Americas,Northern Caribbean,Cayman Islands,,19.27,-81.40333000000001,Grand Cayman,,Sand Cay,,Cayman Islands,Yes,0,,3
1110,3953,,,,,24.616670000000003,-81.4,Florida Reef Tract,Bank,Looe Key Reef,41.0,,Yes,1,,3
1112,1147,Americas,Northern Caribbean,Cayman Islands,,19.366670000000003,-81.4,Grand Cayman,,West Bay,,Cayman Islands,Yes,0,,3
1115,1155,Americas,Northern Caribbean,Cayman Islands,,19.366670000000003,-81.38333,Grand Cayman,Fringing,Eden Rocks,,Cayman Islands,Yes,0,,3
1151,1137,Americas,Northern Caribbean,Cayman Islands,,19.37167,-81.26333000000001,Grand Cayman,,Bowse Bluff,,Cayman Islands,Yes,0,,3
1157,1153,Americas,Northern Caribbean,Cayman Islands,,19.365,-81.10833000000001,Grand Cayman,,Spotter Bay,,Cayman Islands,Yes,0,,3
1159,1138,Americas,Northern Caribbean,Cayman Islands,,19.30167,-81.095,Grand Cayman,,Cayman Dive Lodge,,Cayman Islands,Yes,0,,3
1160,1149,Americas,Northern Caribbean,Cayman Islands,,19.316670000000002,-81.08333,Grand Cayman,,Sand Bluff,,Cayman Islands,Yes,0,,3
1163,1346,,,Georgia,,31.4,-80.93333,Gray's Reef,Non-reef coral community,Gray's Reef,21.0,,Yes,0,,3
1173,12,,,,,24.83333,-80.6,Florida Reef Tract,Platform,Alligator Reef,,Florida Keys,Yes,0,,3
1192,8360,,,,,25.15,-80.28333,Florida Reef Tract,Patch Reef,Grecian Rocks,5.0,Florida Keys,Yes,0,,3
1193,1354,,,,,25.15,-80.28333,Florida Reef Tract,Bank/Patch Reef,Key Largo,91.0,Florida Keys,Yes,1,,3
1199,45,,,,,25.48333,-80.21667,Florida Reef Tract,Bank,Biscayne,,Florida Keys,Yes,0,,3
1214,1136,Americas,Northern Caribbean,Cayman Islands,,19.68167,-80.08333,Little Cayman,,Bloody Bay ( Jackson Point ),,Cayman Islands,Yes,1,,3
1215,1352,,,,,26.066670000000002,-80.06667,John U. Lloyd,,John U. Lloyd,,,Yes,0,,3
