,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
863,10955,Americas,Mesoamerica,Mexico,,20.55,-87.03333,Great Maya Reef,Fringing,Xpu-Ha,,,No,0,,3
864,10956,Americas,Mesoamerica,Mexico,,20.5,-87.03333,Great Maya Reef,Fringing,Kantenah,,,No,0,,3
865,1110,Americas,Southern Tropical America,Costa Rica,,5.566669999999999,-87.03333,Isla del Coco,Fringing,Chatham,,,No,0,,3
866,1111,Americas,Southern Tropical America,Costa Rica,,5.566669999999999,-87.03333,Isla del Coco,Fringing,Pacheco,,,No,0,,3
867,11379,Americas,Mesoamerica,Mexico,,20.5,-87.0,Yucatan,Patch Reef,Outer Chancanab,,,No,0,,3
868,8503,Americas,Mesoamerica,Mexico,,20.183329999999998,-87.0,Cozumel,Non-reef coral community,Bajos de Colombia ( Colombia Shallows ),12.0,,No,0,,3
869,8504,Americas,Mesoamerica,Mexico,,20.505,-87.0,Cozumel,Non-reef coral community,Chankanaab ( Chancanab ),,,No,0,,3
870,8505,Americas,Mesoamerica,Mexico,,20.508329999999997,-87.0,Cozumel,Patch Reef,Paraiso ( Pariso ),15.0,,No,0,,3
871,9531,Americas,Mesoamerica,Mexico,,20.58333,-87.0,Great Maya Reef,Fringing,Xcalacoco,,,No,0,,3
872,10954,Americas,Mesoamerica,Mexico,,20.58333,-87.0,Great Maya Reef,Fringing,Puerto Adventuras,,,No,0,,3
873,11375,Americas,Mesoamerica,Mexico,,20.46667,-86.96667,Yucatan,Fringing,Dzul-Ha,,,No,0,,3
874,11378,Americas,Mesoamerica,Mexico,,20.5,-86.96667,Yucatan,Fringing,Punta Sur,,,No,0,,3
877,7810,Americas,Mesoamerica,Honduras,,16.116670000000003,-86.91667,Bay Islands,Fringing/Patch Reef,Utila Island,,,No,1,,3
878,10953,Americas,Mesoamerica,Mexico,,20.66667,-86.88333,Great Maya Reef,Fringing,Playa del Carmen,,,No,0,,3
879,10951,Americas,Mesoamerica,Mexico,,20.7,-86.88333,Great Maya Reef,Fringing,Xcaret,,,No,0,,3
880,10952,Americas,Mesoamerica,Mexico,,20.683329999999998,-86.88333,Great Maya Reef,Fringing,Paamul,,,No,0,,3
881,9526,Americas,Mesoamerica,Mexico,,20.73333,-86.83333,Great Maya Reef,Fringing,Maroma Point ( Punta Maroma ),,,No,0,,3
883,10950,Americas,Mesoamerica,Mexico,,20.78333,-86.76666999999999,Great Maya Reef,Fringing,Playa del Secreto,,,No,0,,3
884,3587,Americas,Mesoamerica,Mexico,,21.133329999999997,-86.75,Great Maya Reef,Barrier/Fringing,Cancun,,,No,1,,3
885,11767,Americas,Mesoamerica,Mexico,,20.83333,-86.75,Bahia de Mujeres,Barrier,Puerto Morelos,,,No,0,,3
886,11766,Americas,Mesoamerica,Mexico,,21.148329999999998,-86.74667,Bahia de Mujeres,Platform,Chitales Reef,,,No,0,,3
888,8944,Americas,Mesoamerica,Honduras,,16.28333,-86.6,Bay Islands,,West Bay,,Bay Islands,No,0,,3
890,1484,Americas,Mesoamerica,Honduras,,16.33333,-86.58333,Bay Islands,,Bailey's Key,,,No,0,,3
891,1485,Americas,Mesoamerica,Honduras,,16.33333,-86.58333,Bay Islands,Fringing,Anthony's Key,,,No,0,,3
892,1486,Americas,Mesoamerica,Honduras,,16.33333,-86.58333,Bay Islands,Fringing,Deep Eel Garden,,,No,0,,3
893,11423,Americas,Mesoamerica,Honduras,,16.26667,-86.58333,Bay Islands,Fringing,Herbie's Fantasy,,,No,0,,3
894,11424,Americas,Mesoamerica,Honduras,,16.33333,-86.58333,Bay Islands,Fringing,Lighthouse Reef,,,No,0,,3
895,1492,Americas,Mesoamerica,Honduras,,16.33333,-86.56667,Gibson Bight,,Gibson Bight,,,No,0,,3
896,1491,Americas,Mesoamerica,Honduras,,16.33333,-86.56667,Mangrove Bight,,Mangrove Bight,,,No,0,,3
897,1490,Americas,Mesoamerica,Honduras,,16.33333,-86.56667,Bay Islands,Fringing,Half Moon Bay,,,No,0,,3
898,1487,Americas,Mesoamerica,Honduras,,16.33333,-86.56667,Bay Islands,Fringing,Overheat Reef,,Roatan,No,0,,3
899,11425,Americas,Mesoamerica,Honduras,,16.35,-86.55,Bay Islands,Fringing,Hole in the Wall,,,No,0,,3
900,11426,Americas,Mesoamerica,Honduras,,16.41667,-86.53333,Bay Islands,Fringing,Pillar Coral Point,,,No,0,,3
901,11430,Americas,Mesoamerica,Honduras,,16.26667,-86.5,Bay Islands,Fringing,Coxen Hole,,,No,0,,3
902,3878,Americas,Mesoamerica,Honduras,,16.35,-86.48333000000001,Bay Islands,Barrier/Fringing/Patch Reef,Bay Islands ( Islas de Bahia ),,,No,1,,3
903,3474,Americas,Mesoamerica,Honduras,,16.33333,-86.46667,Bay Islands,Barrier/Fringing/Patch Reef,Roatan Island,,,No,1,,3
904,11427,Americas,Mesoamerica,Honduras,,16.46667,-86.45,Bay Islands,Fringing,Peter's Place,,,No,0,,3
905,11428,Americas,Mesoamerica,Honduras,,16.46667,-86.45,Bay Islands,Fringing,Bear's Den,,,No,0,,3
906,1186,Americas,Mesoamerica,Honduras,,15.916670000000002,-86.41667,Bay Islands,Fringing/Patch Reef,Hog Islands ( Cayos Cochinos ),,,No,1,,3
907,8931,Americas,Mesoamerica,Honduras,,15.916670000000002,-86.41667,Bay Islands,Fringing/Patch Reef,Cochinos Grande,,Cayos Cochinos,No,0,,3
909,8830,Americas,Mesoamerica,Honduras,,16.4,-86.36667,Bay Islands,Barrier,George Cay ( Fort Cay ),,,No,0,,3
910,8829,Americas,Mesoamerica,Honduras,,16.4,-86.36667,Bay Islands,,Jennings Point,,,No,0,,3
911,11429,Americas,Mesoamerica,Honduras,,16.33333,-86.33333,Bay Islands,Fringing,French Harbor,,,No,0,,3
912,11422,Americas,Mesoamerica,Honduras,,16.25,-86.26666999999999,Bay Islands,Fringing,Enchanted Forest,,,No,0,,3
913,11420,Americas,Mesoamerica,Honduras,,16.3,-86.25,Bay Islands,Fringing,Mary's Place,,,No,0,,3
914,11421,Americas,Mesoamerica,Honduras,,16.33333,-86.23333000000001,Bay Islands,Fringing,Doc's Dive,,,No,0,,3
915,11431,Americas,Mesoamerica,Honduras,,16.41667,-86.16667,Bay Islands,Fringing,Oak Ridge,,,No,0,,3
917,8935,Americas,Mesoamerica,Honduras,,16.46667,-86.13333,Bay Islands,Fringing,Morat Wall,,,No,0,,3
918,8936,Americas,Mesoamerica,Honduras,,16.41667,-86.13333,Bay Islands,Fringing,Pigeon Cays,,,No,0,,3
919,7889,Americas,Mesoamerica,Honduras,,15.0,-86.0,Honduras,,Honduras,,,No,0,,3
920,8940,Americas,Mesoamerica,Honduras,,16.4,-85.93333,Bay Islands,Fringing,Southwest Cay,,Bay Islands,No,0,,3
921,11394,Americas,Mesoamerica,Honduras,,16.463829999999998,-85.9305,Bay Islands,Fringing,Fantasy Reef,,,No,0,,3
922,11393,Americas,Mesoamerica,Honduras,,16.463829999999998,-85.92983000000001,Bay Islands,Fringing,Pinnacle,,,No,0,,3
923,11418,Americas,Mesoamerica,Honduras,,16.463829999999998,-85.92983000000001,Bay Islands,Fringing,Soldado,,,No,0,,3
924,11397,Americas,Mesoamerica,Honduras,,16.47417,-85.92200000000001,Bay Islands,Fringing,Diane's Reef,,,No,0,,3
925,11398,Americas,Mesoamerica,Honduras,,16.4775,-85.92166999999999,Bay Islands,Fringing,Wonderful Reef,,,No,0,,3
926,11399,Americas,Mesoamerica,Honduras,,16.47883,-85.92116999999999,Bay Islands,Fringing,Paradise Reef,,,No,0,,3
927,11395,Americas,Mesoamerica,Honduras,,16.4705,-85.92017,Bay Islands,Fringing,Eel's Garden,,,No,0,,3
928,11396,Americas,Mesoamerica,Honduras,,16.4705,-85.92017,Bay Islands,Fringing,Bayman Drop,,,No,0,,3
929,11401,Americas,Mesoamerica,Honduras,,16.484170000000002,-85.91833000000001,Bay Islands,Fringing,Michael's Rock Key,,,No,0,,3
930,11403,Americas,Mesoamerica,Honduras,,16.484170000000002,-85.91833000000001,Bay Islands,Fringing,Sandi's Reef,,,No,0,,3
931,11400,Americas,Mesoamerica,Honduras,,16.48917,-85.9145,Bay Islands,Fringing,Pavillion's,,,No,0,,3
932,11416,Americas,Mesoamerica,Honduras,,16.38583,-85.91233000000001,Bay Islands,Fringing,Blacktip Slumberland,,,No,0,,3
933,11404,Americas,Mesoamerica,Honduras,,16.497,-85.90733,Bay Islands,Fringing,Reef Relief,,,No,0,,3
934,11413,Americas,Mesoamerica,Honduras,,16.3865,-85.90583000000001,Bay Islands,Fringing,Southwest Wall,,,No,0,,3
935,11406,Americas,Mesoamerica,Honduras,,16.46667,-85.9,Bay Islands,Fringing,Bayman Bay,,,No,0,,3
936,11407,Americas,Mesoamerica,Honduras,,16.48333,-85.9,Bay Islands,Fringing,Alderson,,,No,0,,3
937,11412,Americas,Mesoamerica,Honduras,,16.39167,-85.89667,Bay Islands,Fringing,Captain's Crack,,,No,0,,3
938,11410,Americas,Mesoamerica,Honduras,,16.395,-85.89067,Bay Islands,Fringing,Vertigo,,,No,0,,3
939,11411,Americas,Mesoamerica,Honduras,,16.3955,-85.8895,Bay Islands,Fringing,Gorgonian's Wall,,,No,0,,3
940,11415,Americas,Mesoamerica,Honduras,,16.4045,-85.889,Bay Islands,Fringing,Afternoon Delight,,,No,0,,3
941,11414,Americas,Mesoamerica,Honduras,,16.406670000000002,-85.88717,Bay Islands,Fringing,Lee's Pleasure,,,No,0,,3
943,3457,Americas,Mesoamerica,Honduras,,16.46667,-85.88333,Bay Islands,Fringing,Guanaja,,Bay Islands,No,1,,3
944,11392,Americas,Mesoamerica,Honduras,,16.41067,-85.88183000000001,Bay Islands,Fringing,Rainbow Reef,,,No,0,,3
945,11409,Americas,Mesoamerica,Honduras,,16.40333,-85.8805,Bay Islands,Fringing,Jim's Silver Lode,,,No,0,,3
946,11402,Americas,Mesoamerica,Honduras,,16.519170000000003,-85.8665,Bay Islands,Non-reef coral community,Black Rock,,,No,0,,3
947,11391,Americas,Mesoamerica,Honduras,,16.441329999999997,-85.86483,Bay Islands,Fringing,Lisa's Reef,,,No,0,,3
948,8943,Americas,Mesoamerica,Honduras,,16.435,-85.86117,Bay Islands,Fringing,Katron Cay,,Bay Islands,No,0,,3
949,11386,Americas,Mesoamerica,Honduras,,16.522170000000003,-85.85799999999999,Bay Islands,Fringing,Tito's Labrynth,,,No,0,,3
950,11405,Americas,Mesoamerica,Honduras,,16.445999999999998,-85.84683000000001,Bay Islands,Fringing,Half Moon Cay,,,No,0,,3
951,11390,Americas,Mesoamerica,Honduras,,16.44,-85.84200000000001,Bay Islands,Fringing,Bridgit's Reef,,,No,0,,3
952,11389,Americas,Mesoamerica,Honduras,,16.44667,-85.83917,Bay Islands,Fringing,Stephan's Reef,,,No,0,,3
953,8939,Americas,Mesoamerica,Honduras,,16.447670000000002,-85.83567,Bay Islands,Fringing,Windmill Reef,,Bay Islands,No,0,,3
954,8937,Americas,Mesoamerica,Honduras,,16.48333,-85.83333,Bay Islands,Fringing,Clark's Cay,,Bay Islands,No,0,,3
955,11388,Americas,Mesoamerica,Honduras,,16.45683,-85.82883000000001,Bay Islands,Fringing,Hector's Run,,,No,0,,3
956,11387,Americas,Mesoamerica,Honduras,,16.46867,-85.82316999999999,Bay Islands,Fringing,George's Reef,,,No,0,,3
957,11408,Americas,Mesoamerica,Honduras,,16.46667,-85.8,Bay Islands,Fringing,Northeast Cay,,,No,0,,3
958,11417,Americas,Mesoamerica,Honduras,,16.58333,-85.8,Bay Islands,Fringing,Caldera del Diablo ( Devils Cauldron ),,,No,0,,3
959,10189,Americas,Southern Tropical America,Costa Rica,,10.61667,-85.71667,Culebra Bay,Non-reef coral community,Virador,,,No,0,,3
960,10192,Americas,Southern Tropical America,Costa Rica,,10.58333,-85.71667,Culebra Bay,Non-reef coral community,Estudiantes,,,No,0,,3
961,10193,Americas,Southern Tropical America,Costa Rica,,10.58333,-85.71667,Culebra Bay,Non-reef coral community,Sorpresa,,,No,0,,3
962,10188,Americas,Southern Tropical America,Costa Rica,,10.61667,-85.7,Culebra Bay,Fringing,Guiri-guiri,,,No,0,,3
963,10190,Americas,Southern Tropical America,Costa Rica,,10.61667,-85.68333,Culebra Bay,Non-reef coral community,Meros,,,No,0,,3
964,10187,Americas,Southern Tropical America,Costa Rica,,10.61667,-85.66667,Costa Rica,Fringing,Culebra Bay,,,No,0,,3
965,10191,Americas,Southern Tropical America,Costa Rica,,10.6,-85.66667,Culebra Bay,Fringing,Esmeralda,,,No,0,,3
966,7792,Americas,Southern Tropical America,Costa Rica,,9.91667,-84.16667,Costa Rica,,Costa Rica,,,No,1,,3
968,12725,Americas,Northern Caribbean,Cuba,,22.683329999999998,-84.06667,Colorado Barrier Reef,Fringing,Jutias ( Cayo Jutias ),,,No,0,,3
969,8832,Americas,Mesoamerica,Honduras,,17.48333,-84.01666999999999,Swan Islands,Fringing,Great Swan ( Isla Grande),,Swan Islands,No,0,,3
970,8833,Americas,Mesoamerica,Honduras,,17.48333,-83.98333000000001,Swan Islands,Fringing,Little Swan ( Isla Peque�a ),,Swan Islands,No,0,,3
971,8831,Americas,Mesoamerica,Honduras,,17.4,-83.95,Swan Island,Fringing,Swan Islands ( Islas del Cisne ),,Swan Islands,No,0,,3
972,1227,Americas,Southern Tropical America,Costa Rica,,8.70283,-83.89,Ca�o Island,Fringing,Ca�o Island Reef E,,Ca�o Island,No,0,,3
973,1225,Americas,Southern Tropical America,Costa Rica,,8.7055,-83.88833000000001,Ca�o Island,Fringing,Ca�o Island reef C,,Ca�o Island,No,0,,3
974,1226,Americas,Southern Tropical America,Costa Rica,,8.703330000000001,-83.88833000000001,Ca�o Island,Fringing,Ca�o Island reef D,,Ca�o Island,No,0,,3
975,1224,Americas,Southern Tropical America,Costa Rica,,8.71667,-83.8695,Ca�o Island,Fringing,Ca�o Island reef B,,Ca�o Island,No,0,,3
976,770,Americas,Southern Tropical America,Costa Rica,,8.71667,-83.86667,Ca�o Island,Fringing,Ca�o Island,15.0,Ca�o Island,No,0,,3
977,1223,Americas,Southern Tropical America,Costa Rica,,8.71667,-83.86383000000001,Ca�o Island,Fringing,Ca�o Island Reef A,,Ca�o Island,No,0,,3
978,4328,,,,,29.933329999999998,-83.8,Florida,,Panama City Beach,,,No,1,,3
979,12726,Americas,Northern Caribbean,Cuba,,22.78333,-83.73333000000001,Colorado Barrier Reef,Fringing,Port Esperanza ( Puerto Esperanza ),,,No,0,,3
980,1228,Americas,Southern Tropical America,Costa Rica,,8.69,-83.69583,Ca�o Island,Fringing,Ca�o Island reef F,,Ca�o Island,No,0,,3
981,704,Americas,Southern Tropical America,Costa Rica,,8.83333,-83.65,Golfo Dulce,Fringing,Punta Islotes,,,No,0,,3
982,12724,Americas,Northern Caribbean,Cuba,,22.883329999999997,-83.56667,Colorado Barrier Reef,Fringing,Levisa ( Cayo Levisa ),,,No,0,,3
