,lat,lon,popdens
190,53.125,-1.375,426.5
191,53.125,-1.125,1177.24
192,53.125,6.125,368.92
193,53.125,6.375,475.52
194,53.125,6.625,368.92
195,53.125,8.125,734.75
196,53.125,8.625,1411.26
197,53.125,8.875,761.89
198,53.125,18.125,1754.26
199,53.125,20.375,734.75
200,53.125,23.125,3133.74
201,53.125,45.125,1886.21
202,53.125,46.625,1018.3
203,52.875,-1.875,276.02
204,52.875,-1.625,266.19
205,52.875,-1.375,286.22
206,52.875,-1.125,266.19
207,52.875,19.125,411.31
208,52.875,19.625,708.59
209,52.875,20.625,982.03
210,52.625,-8.625,1517.41
211,52.625,-2.125,612.92
212,52.625,-1.875,286.22
213,52.625,-1.625,1265.79
214,52.625,-1.375,343.11
215,52.625,-1.125,3895.39
216,52.625,-0.375,426.5
217,52.625,-0.125,355.78
218,52.625,1.375,343.11
219,52.625,1.625,493.08
220,52.625,4.875,708.59
221,52.625,5.625,475.52
222,52.625,6.125,266.19
223,52.625,14.625,307.74
224,52.625,19.125,1265.79
225,52.625,20.375,708.59
226,52.625,39.625,2102.98
227,52.625,41.875,396.67
228,52.375,-2.375,493.08
229,52.375,-2.125,426.5
230,52.375,-1.875,296.78
231,52.375,-1.625,659.02
232,52.375,-0.625,396.67
233,52.375,1.625,307.74
234,52.375,4.625,3493.87
235,52.375,4.875,3895.39
236,52.375,5.125,1312.53
237,52.375,5.375,276.02
238,52.375,5.625,734.75
239,52.375,6.625,458.58
240,52.375,6.875,396.67
241,52.375,8.625,276.02
242,52.375,8.875,276.02
243,52.375,9.625,493.08
244,52.375,9.875,493.08
245,52.375,10.125,330.89
246,52.375,10.875,530.16
247,52.375,13.125,343.11
248,52.375,13.625,1631.54
249,52.375,16.875,1886.21
250,52.375,20.875,511.28
251,52.375,21.125,591.09
252,52.375,30.875,256.71
253,52.375,31.125,256.71
254,52.125,-122.125,319.11
255,52.125,-106.625,1411.26
256,52.125,-8.625,530.16
257,52.125,-0.625,659.02
258,52.125,-0.375,296.78
259,52.125,4.375,493.08
260,52.125,4.625,1135.32
